round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.456281,2.657083,5.416435,1.414174
0,random_intensity,0.496119,2.506711,5.329281,1.414174
0,crux_no_compress,0.564656,2.163080,4.241030,1.363137
0,crux,0.546616,2.237794,4.372480,1.408920
1,random_same,0.462039,2.727175,5.863399,1.295217
1,random_intensity,0.491725,2.615560,5.863399,1.295217
1,crux_no_compress,0.577093,2.235628,4.634334,1.267836
1,crux,0.559978,2.296115,4.702635,1.285042
2,random_same,0.426938,2.980942,6.777426,1.326649
2,random_intensity,0.465407,2.827453,6.694057,1.326649
2,crux_no_compress,0.560724,2.288859,4.809840,1.289866
2,crux,0.535280,2.400637,5.021280,1.318121
3,random_same,0.487832,2.343930,4.606601,1.301832
3,random_intensity,0.537472,2.165550,4.379895,1.301832
3,crux_no_compress,0.609625,1.924131,3.670243,1.215939
3,crux,0.589485,1.996923,3.786044,1.222861
4,random_same,0.436082,3.011768,6.640676,1.384875
4,random_intensity,0.474022,2.839556,6.640676,1.384875
4,crux_no_compress,0.561226,2.351043,5.007752,1.322523
4,crux,0.537838,2.471232,5.263837,1.384875
5,random_same,0.456469,2.621686,5.320949,1.286283
5,random_intensity,0.502880,2.449975,5.158518,1.286283
5,crux_no_compress,0.579434,2.082988,4.065111,1.203529
5,crux,0.556258,2.185463,4.244059,1.250545
6,random_same,0.388661,3.519744,7.726775,1.350055
6,random_intensity,0.425825,3.254287,7.137190,1.350055
6,crux_no_compress,0.567209,2.431969,4.426363,1.279906
6,crux,0.542906,2.602146,4.684995,1.342540
7,random_same,0.434127,2.948566,6.532924,1.419062
7,random_intensity,0.480801,2.775062,6.483808,1.419062
7,crux_no_compress,0.569253,2.298949,4.847692,1.364853
7,crux,0.535960,2.412564,5.101229,1.419062
8,random_same,0.426492,3.010939,6.552721,1.402809
8,random_intensity,0.465799,2.843480,6.466375,1.402809
8,crux_no_compress,0.575204,2.250794,4.387420,1.356704
8,crux,0.545447,2.359774,4.635926,1.392637
9,random_same,0.417860,3.007364,6.487376,1.401860
9,random_intensity,0.453091,2.827484,6.434614,1.401860
9,crux_no_compress,0.552307,2.372621,4.969544,1.337527
9,crux,0.534558,2.458595,5.047367,1.379270
10,random_same,0.426138,3.169951,7.599752,1.253556
10,random_intensity,0.462835,2.906992,6.892323,1.253556
10,crux_no_compress,0.584842,2.182544,4.480037,1.168867
10,crux,0.565588,2.245260,4.563864,1.203666
11,random_same,0.406351,3.393357,7.200249,1.288619
11,random_intensity,0.444605,3.172524,6.994004,1.288619
11,crux_no_compress,0.531730,2.675344,5.424697,1.233425
11,crux,0.497845,2.833618,5.762289,1.269252
12,random_same,0.404770,3.226556,7.325288,1.369664
12,random_intensity,0.444414,2.986744,6.852926,1.369664
12,crux_no_compress,0.557313,2.370025,4.688346,1.306402
12,crux,0.519687,2.542071,5.166938,1.369664
13,random_same,0.381326,3.774808,8.602290,1.341827
13,random_intensity,0.430493,3.374229,7.346410,1.341827
13,crux_no_compress,0.540740,2.469787,4.523492,1.258560
13,crux,0.518234,2.618684,4.791851,1.282770
14,random_same,0.469856,2.580816,5.391160,1.347592
14,random_intensity,0.503909,2.459514,5.317324,1.347592
14,crux_no_compress,0.591576,2.055030,4.033127,1.273739
14,crux,0.565869,2.147371,4.212740,1.310308
15,random_same,0.385420,3.723209,8.356333,1.246252
15,random_intensity,0.421598,3.481915,7.808998,1.246252
15,crux_no_compress,0.530529,2.855589,5.729312,1.213667
15,crux,0.513245,2.941628,5.900443,1.234708
16,random_same,0.386211,3.641762,7.495071,1.255422
16,random_intensity,0.434486,3.264207,6.349488,1.255422
16,crux_no_compress,0.522207,2.798233,4.925116,1.176434
16,crux,0.495082,2.947710,5.154246,1.192512
17,random_same,0.359315,4.124909,8.962252,1.317536
17,random_intensity,0.411472,3.654847,7.535868,1.317536
17,crux_no_compress,0.506676,2.991486,5.381071,1.262554
17,crux,0.477791,3.129095,5.701104,1.294391
18,random_same,0.444968,2.830220,6.808922,1.305339
18,random_intensity,0.476623,2.721882,6.808922,1.305339
18,crux_no_compress,0.570458,2.232191,5.014653,1.237727
18,crux,0.540947,2.329930,5.244301,1.288899
19,random_same,0.442812,2.826116,5.879046,1.431953
19,random_intensity,0.488335,2.634471,5.797736,1.431953
19,crux_no_compress,0.575979,2.185430,4.236451,1.393277
19,crux,0.552589,2.260627,4.322668,1.426916
