round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.678617,1.724652,3.180272,1.054118
0,random_intensity,0.693002,1.693957,3.125130,1.054118
0,crux_no_compress,0.718205,1.635554,2.916349,1.040352
0,crux,0.718205,1.635554,2.916349,1.040352
1,random_same,0.584764,2.202554,4.849306,1.120338
1,random_intensity,0.602965,2.153582,4.849306,1.120338
1,crux_no_compress,0.678731,1.808762,3.540968,1.084055
1,crux,0.677098,1.814594,3.540968,1.107382
2,random_same,0.699065,1.526446,3.055379,0.943961
2,random_intensity,0.708885,1.506728,3.036618,0.943961
2,crux_no_compress,0.731710,1.470284,2.911665,0.936014
2,crux,0.731710,1.470284,2.911665,0.936014
3,random_same,0.639520,1.895405,3.811917,1.009814
3,random_intensity,0.655852,1.854513,3.774759,1.009814
3,crux_no_compress,0.694410,1.750911,3.410109,0.990242
3,crux,0.693594,1.753570,3.410109,1.000876
4,random_same,0.669289,1.787469,2.975202,0.987496
4,random_intensity,0.695084,1.729755,2.860413,0.987496
4,crux_no_compress,0.758758,1.555344,2.291543,0.969226
4,crux,0.758758,1.555344,2.291543,0.969226
5,random_same,0.705360,1.659264,2.310311,0.990040
5,random_intensity,0.722748,1.625097,2.242926,0.990040
5,crux_no_compress,0.745387,1.562987,2.242926,0.990040
5,crux,0.745387,1.562987,2.242926,0.990040
6,random_same,0.632543,1.905155,3.988664,1.014725
6,random_intensity,0.648661,1.870583,3.988664,1.014725
6,crux_no_compress,0.703763,1.703158,3.331604,1.002084
6,crux,0.703763,1.703158,3.331604,1.002084
7,random_same,0.631759,1.939994,4.167813,1.042804
7,random_intensity,0.649687,1.892025,4.119110,1.042804
7,crux_no_compress,0.737249,1.627744,3.110475,1.003501
7,crux,0.737249,1.627744,3.110475,1.003501
8,random_same,0.584429,2.113796,4.402602,1.000928
8,random_intensity,0.605076,2.062492,4.313228,1.000928
8,crux_no_compress,0.715298,1.665418,2.839556,0.986199
8,crux,0.715298,1.665418,2.839556,0.986199
9,random_same,0.535688,2.794964,4.976639,0.996919
9,random_intensity,0.564249,2.595240,4.250732,0.996919
9,crux_no_compress,0.633658,2.324006,3.664971,0.996919
9,crux,0.630484,2.357303,3.798159,0.996919
10,random_same,0.643792,1.843555,3.378879,1.053504
10,random_intensity,0.665970,1.789576,3.321849,1.053504
10,crux_no_compress,0.683864,1.737725,3.154969,1.031490
10,crux,0.683147,1.740100,3.154969,1.040992
11,random_same,0.592862,2.296556,4.327655,1.022224
11,random_intensity,0.604019,2.272052,4.327655,1.022224
11,crux_no_compress,0.703663,1.855724,2.938270,1.013386
11,crux,0.703663,1.855724,2.938270,1.013386
12,random_same,0.611155,2.107235,3.846475,0.956411
12,random_intensity,0.629871,2.051270,3.656655,0.956411
12,crux_no_compress,0.697940,1.822310,3.272704,0.943089
12,crux,0.697940,1.822310,3.272704,0.943089
13,random_same,0.656808,1.902224,3.834889,0.959800
13,random_intensity,0.658371,1.898339,3.834889,0.959800
13,crux_no_compress,0.693443,1.807630,3.570490,0.944274
13,crux,0.693443,1.807630,3.570490,0.944274
14,random_same,0.553636,2.458920,5.629558,1.043369
14,random_intensity,0.559426,2.443281,5.629558,1.043369
14,crux_no_compress,0.631378,2.135863,4.626789,1.032301
14,crux,0.631378,2.135863,4.626789,1.032301
15,random_same,0.627951,1.862922,3.703847,1.052363
15,random_intensity,0.646997,1.819571,3.663998,1.052363
15,crux_no_compress,0.705236,1.668847,3.147017,1.052363
15,crux,0.704455,1.671144,3.147017,1.052363
16,random_same,0.575839,2.197932,4.264522,1.059470
16,random_intensity,0.592422,2.147323,4.264522,1.059470
16,crux_no_compress,0.681893,1.860003,3.441605,1.008132
16,crux,0.680930,1.863757,3.441605,1.023147
17,random_same,0.589097,2.304657,4.585912,0.981521
17,random_intensity,0.595333,2.269057,4.462114,0.981521
17,crux_no_compress,0.645067,2.097881,3.852994,0.975010
17,crux,0.645067,2.097881,3.852994,0.975010
18,random_same,0.589637,2.252186,4.268528,0.938580
18,random_intensity,0.625263,2.144649,3.962787,0.938580
18,crux_no_compress,0.666684,1.942607,3.586235,0.930025
18,crux,0.665942,1.944745,3.586235,0.938580
19,random_same,0.687554,1.589531,2.597620,1.023271
19,random_intensity,0.716521,1.533993,2.509963,1.023271
19,crux_no_compress,0.740416,1.492449,2.386857,1.010877
19,crux,0.740416,1.492449,2.386857,1.010877
