round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
0,random_same,0.657916,1.846525,3.958824,0.955736
0,random_intensity,0.667748,1.824660,3.958824,0.955736
0,crux_no_compress,0.742791,1.621757,3.189238,0.899096
0,crux,0.742791,1.621757,3.189238,0.899096
1,random_same,0.610589,2.170174,3.826944,1.057393
1,random_intensity,0.634025,2.093588,3.626051,1.057393
1,crux_no_compress,0.676725,1.912832,3.272181,1.034798
1,crux,0.675923,1.915453,3.272181,1.045280
2,random_same,0.603475,1.877038,3.815229,1.044980
2,random_intensity,0.620228,1.827989,3.776551,1.044980
2,crux_no_compress,0.681090,1.648545,3.158992,1.010540
2,crux,0.678567,1.657009,3.158992,1.023940
3,random_same,0.671786,1.632782,3.000338,1.033540
3,random_intensity,0.697974,1.578249,2.894476,1.033540
3,crux_no_compress,0.745279,1.453426,2.433243,0.998928
3,crux,0.745279,1.453426,2.433243,0.998928
4,random_same,0.664110,1.770795,3.527816,0.913599
4,random_intensity,0.677399,1.740996,3.458045,0.913599
4,crux_no_compress,0.721740,1.604755,2.973437,0.901120
4,crux,0.721740,1.604755,2.973437,0.901120
5,random_same,0.577540,2.389504,3.832969,1.021908
5,random_intensity,0.612840,2.243374,3.297705,1.021908
5,crux_no_compress,0.647672,2.102746,3.285319,1.010740
5,crux,0.644137,2.112114,3.285319,1.010740
6,random_same,0.775237,1.347110,1.807002,1.038805
6,random_intensity,0.800923,1.304636,1.673274,1.038805
6,crux_no_compress,0.809702,1.289905,1.673274,1.026090
6,crux,0.809702,1.289905,1.673274,1.026090
7,random_same,0.727361,1.545472,2.205156,1.176728
7,random_intensity,0.752937,1.481183,2.132532,1.176728
7,crux_no_compress,0.761828,1.460513,2.132532,1.146341
7,crux,0.760327,1.465361,2.132532,1.157291
8,random_same,0.514733,2.898498,4.847980,0.944386
8,random_intensity,0.537795,2.766188,4.318742,0.944386
8,crux_no_compress,0.628552,2.384083,3.334416,0.933725
8,crux,0.628552,2.384083,3.334416,0.933725
9,random_same,0.700287,1.605070,2.651835,1.055255
9,random_intensity,0.727147,1.546947,2.548568,1.055255
9,crux_no_compress,0.759273,1.487484,2.412199,1.026131
9,crux,0.759273,1.487484,2.412199,1.026131
10,random_same,0.552262,2.573820,5.185973,0.938239
10,random_intensity,0.579405,2.462361,4.755990,0.938239
10,crux_no_compress,0.662199,2.115391,3.592461,0.914152
10,crux,0.662199,2.115391,3.592461,0.914152
11,random_same,0.598543,2.295895,4.418793,0.994509
11,random_intensity,0.624356,2.218066,4.222845,0.994509
11,crux_no_compress,0.669241,2.053530,3.564703,0.994509
11,crux,0.669241,2.053530,3.564703,0.994509
12,random_same,0.658651,1.839282,3.544671,1.046629
12,random_intensity,0.665880,1.822761,3.544671,1.046629
12,crux_no_compress,0.712369,1.690501,3.100608,0.969952
12,crux,0.712369,1.690501,3.100608,0.969952
13,random_same,0.644573,2.060086,3.471343,1.097803
13,random_intensity,0.658115,2.024599,3.471343,1.097803
13,crux_no_compress,0.706294,1.879848,3.080328,1.087750
13,crux,0.706294,1.879848,3.080328,1.087750
14,random_same,0.639192,1.742878,3.330009,1.140707
14,random_intensity,0.660022,1.695552,3.293477,1.140707
14,crux_no_compress,0.748668,1.453235,2.408043,1.126476
14,crux,0.747452,1.456793,2.408043,1.140707
15,random_same,0.519355,2.904495,4.589432,1.105855
15,random_intensity,0.556567,2.723004,3.994354,1.105855
15,crux_no_compress,0.603453,2.520259,3.582608,1.093823
15,crux,0.600400,2.530059,3.582608,1.093823
16,random_same,0.605253,2.079060,4.379242,1.049741
16,random_intensity,0.617366,2.045171,4.379242,1.049741
16,crux_no_compress,0.696462,1.779791,3.396921,1.023652
16,crux,0.695757,1.782184,3.396921,1.033225
17,random_same,0.701729,1.692540,2.903456,1.066942
17,random_intensity,0.723648,1.644439,2.844385,1.066942
17,crux_no_compress,0.746347,1.601150,2.737177,1.037715
17,crux,0.746347,1.601150,2.737177,1.037715
18,random_same,0.646639,1.819797,3.298600,1.055477
18,random_intensity,0.665656,1.772954,3.247581,1.055477
18,crux_no_compress,0.720497,1.638800,2.773063,1.042644
18,crux,0.720497,1.638800,2.773063,1.042644
19,random_same,0.663465,1.789662,3.385181,1.024839
19,random_intensity,0.678208,1.753198,3.385181,1.024839
19,crux_no_compress,0.700322,1.707336,3.228187,1.024839
19,crux,0.700322,1.707336,3.228187,1.024839
