round,scheduler,gpu_util,avg_iter_time,avg_comm_time,high_intensity_jct,low_intensity_jct
0,random_same,0.8320251241723542,1.5485911934457355,0.2441381089488264,2.073022904044686,1.4446951407841644
0,random_intensity,0.8320229233153531,1.5485954437926708,0.24414235929576156,2.073022904044686,1.444695140784164
0,crux_no_compress,0.8317575525332475,1.549405597839344,0.2449525133424348,2.0734546036712205,1.457594467629355
0,crux,0.8308061083374391,1.5513118265881152,0.24685874209120595,2.073415540543727,1.4597880883388095
1,random_same,0.7911225449111624,1.63375716685677,0.31565169722797753,0.8586500337532442,1.703656477067505
1,random_intensity,0.7933287701010401,1.6296590164915274,0.31155354686273484,0.8586500337532442,1.7030400638470893
1,crux_no_compress,0.7973430159995648,1.6218210702416855,0.30371560061289293,0.8586500337532442,1.7037716706245094
1,crux,0.7927820304306948,1.6306617134070782,0.3125562437782857,0.8586500337532442,1.7036564770675067
2,random_same,0.8130714232192102,1.3568992205147898,0.23628467793557323,0.8846620493700713,2.6513414675219646
2,random_intensity,0.8137391818312807,1.3556802233947762,0.2350656808155595,0.8797860608900165,2.6513414675219646
2,crux_no_compress,0.8433695742980678,1.3119036110177438,0.1912890684385271,0.8761290695299757,2.479892009373876
2,crux,0.8338353278528373,1.3251919240002692,0.20457738142105256,0.8797860608900165,2.529388269943937
