round,scheduler,gpu_util,avg_iter_time,high_intensity_jct,low_intensity_jct
25,random_intensity,0.743669,3.961643,5.713940,1.690830
25,crux_no_compress,0.743669,3.961643,5.713940,1.690830
25,crux,0.743669,3.961643,5.713940,1.690830
26,random_same,0.696308,5.860293,6.799445,1.906277
26,random_intensity,0.703598,5.803039,6.551344,1.906277
26,crux_no_compress,0.708559,5.694946,6.551344,1.906277
26,crux,0.708559,5.694946,6.551344,1.906277
27,random_same,0.733135,3.502794,5.690862,1.482718
27,random_intensity,0.734895,3.486901,5.649123,1.482718
27,crux_no_compress,0.734895,3.486901,5.649123,1.482718
27,crux,0.734895,3.486901,5.649123,1.482718
28,random_same,0.663076,4.037201,6.229012,1.553254
28,random_intensity,0.682281,3.930927,5.791197,1.553254
28,crux_no_compress,0.682281,3.930927,5.791197,1.553254
28,crux,0.682281,3.930927,5.791197,1.553254
29,random_same,0.687530,3.264406,5.780435,1.145587
29,random_intensity,0.692110,3.212969,5.635081,1.145587
29,crux_no_compress,0.700266,3.168056,5.520844,1.133785
29,crux,0.700266,3.168056,5.520844,1.133785
